date,item,sales
2013-05-09,32498,23
2013-05-10,32498,24
2013-05-11,32498,28
2013-05-12,32498,17
2013-05-13,32498,14
2013-05-14,32498,16
2013-05-15,32498,24
2013-05-16,32498,24
2013-05-17,32498,22
2013-05-18,32498,27
2013-05-19,32498,28
2013-05-20,32498,12
2013-05-21,32498,19
2013-05-22,32498,21
2013-05-23,32498,20
2013-05-24,32498,24
2013-05-25,32498,12
2013-05-26,32498,26
2013-05-27,32498,13
2013-05-28,32498,18
2013-05-29,32498,18
2013-05-30,32498,22
2013-05-31,32498,24
2013-06-01,32498,21
2013-06-02,32498,29
2013-06-03,32498,22
2013-06-04,32498,18
2013-06-05,32498,19
2013-06-06,32498,22
2013-06-07,32498,18
2013-06-08,32498,20
2013-06-09,32498,17
2013-06-10,32498,16
2013-06-11,32498,20
2013-06-12,32498,14
2013-06-13,32498,22
2013-06-14,32498,14
2013-06-15,32498,29
2013-06-16,32498,21
2013-06-17,32498,14
2013-06-18,32498,17
2013-06-19,32498,16
2013-06-20,32498,16
2013-06-21,32498,20
2013-06-22,32498,24
2013-06-23,32498,25
2013-06-24,32498,22
2013-06-25,32498,23
2013-06-26,32498,13
2013-06-27,32498,26
2013-06-28,32498,
2013-06-29,32498,24
2013-06-30,32498,119
2013-07-01,32498,9
2013-07-02,32498,13
2013-07-03,32498,16
2013-07-04,32498,21
2013-07-05,32498,28
2013-07-06,32498,28
2013-07-07,32498,29
2013-07-08,32498,14
2013-07-09,32498,18
2013-07-10,32498,14
2013-07-11,32498,20
2013-07-12,32498,25
2013-07-13,32498,
2013-07-14,32498,24
2013-07-15,32498,16
2013-07-16,32498,21
2013-07-17,32498,22
2013-07-18,32498,21
2013-07-19,32498,24
2013-07-20,32498,28
2013-07-21,32498,19
2013-07-22,32498,14
2013-07-23,32498,19
2013-07-24,32498,27
2013-07-25,32498,18
2013-07-26,32498,21
2013-07-27,32498,17
2013-07-28,32498,27
2013-07-29,32498,9
2013-07-30,32498,21
2013-07-31,32498,13
2013-08-01,32498,11
2013-08-02,32498,18
2013-08-03,32498,17
2013-08-04,32498,27
2013-08-05,32498,14
2013-08-06,32498,
2013-08-07,32498,18
2013-08-08,32498,18
2013-08-09,32498,18
2013-08-10,32498,34
2013-08-11,32498,18
2013-08-12,32498,14
2013-08-13,32498,19
2013-08-14,32498,18
2013-08-15,32498,21
2013-08-16,32498,16
2013-08-17,32498,25
2013-08-18,32498,15
2013-08-19,32498,23
2013-08-20,32498,16
2013-08-21,32498,13
2013-08-22,32498,19
2013-08-23,32498,20
2013-08-24,32498,27
2013-08-25,32498,13
2013-08-26,32498,16
2013-08-27,32498,22
2013-08-28,32498,21
2013-08-29,32498,14
2013-08-30,32498,17
2013-08-31,32498,18
2013-09-01,32498,22
2013-09-02,32498,15
2013-09-03,32498,15
2013-09-04,32498,12
2013-09-05,32498,25
2013-09-06,32498,18
2013-09-07,32498,25
2013-09-08,32498,28
2013-09-09,32498,4
2013-09-10,32498,22
2013-09-11,32498,22
2013-09-12,32498,24
2013-09-13,32498,16
2013-09-14,32498,24
2013-09-15,32498,20
2013-09-16,32498,17
2013-09-17,32498,20
2013-09-18,32498,10
2013-09-19,32498,20
2013-09-20,32498,17
2013-09-21,32498,18
2013-09-22,32498,31
2013-09-23,32498,9
2013-09-24,32498,20
2013-09-25,32498,15
2013-09-26,32498,15
2013-09-27,32498,16
2013-09-28,32498,16
2013-09-29,32498,20
2013-09-30,32498,18
2013-10-01,32498,13
2013-10-02,32498,13
2013-10-03,32498,16
2013-10-04,32498,19
2013-10-05,32498,22
2013-10-06,32498,
2013-10-07,32498,13
2013-10-08,32498,14
2013-10-09,32498,10
2013-10-10,32498,17
2013-10-11,32498,14
2013-10-12,32498,12
2013-10-13,32498,21
2013-10-14,32498,7
2013-10-15,32498,19
2013-10-16,32498,11
2013-10-17,32498,11
2013-10-18,32498,20
2013-10-19,32498,20
2013-10-20,32498,18
2013-10-21,32498,10
2013-10-22,32498,
2013-10-23,32498,19
2013-10-24,32498,21
2013-10-25,32498,17
2013-10-26,32498,19
2013-10-27,32498,22
2013-10-28,32498,19
2013-10-29,32498,10
2013-10-30,32498,9
2013-10-31,32498,10
2013-11-01,32498,22
2013-11-02,32498,24
2013-11-03,32498,17
2013-11-04,32498,12
2013-11-05,32498,19
2013-11-06,32498,24
2013-11-07,32498,18
2013-11-08,32498,12
2013-11-09,32498,16
2013-11-10,32498,14
2013-11-11,32498,12
2013-11-12,32498,16
2013-11-13,32498,11
2013-11-14,32498,18
2013-11-15,32498,13
2013-11-16,32498,25
2013-11-17,32498,28
2013-11-18,32498,9
2013-11-19,32498,18
2013-11-20,32498,17
2013-11-21,32498,17
2013-11-22,32498,19
2013-11-23,32498,21
2013-11-24,32498,19
2013-11-25,32498,11
2013-11-26,32498,12
2013-11-27,32498,16
2013-11-28,32498,29
2013-11-29,32498,12
2013-11-30,32498,18
2013-12-01,32498,17
2013-12-02,32498,8
2013-12-03,32498,13
2013-12-04,32498,17
2013-12-05,32498,11
2013-12-06,32498,12
2013-12-07,32498,20
2013-12-08,32498,12
2013-12-09,32498,13
2013-12-10,32498,5
2013-12-11,32498,6
2013-12-12,32498,13
2013-12-13,32498,15
2013-12-14,32498,13
2013-12-15,32498,15
2013-12-16,32498,7
2013-12-17,32498,9
2013-12-18,32498,
2013-12-19,32498,15
2013-12-20,32498,15
2013-12-21,32498,12
2013-12-22,32498,13
2013-12-23,32498,9
2013-12-24,32498,14
2013-12-25,32498,10
2013-12-26,32498,15
2013-12-27,32498,11
2013-12-28,32498,22
2013-12-29,32498,21
2013-12-30,32498,13
2013-12-31,32498,9
2014-01-01,32498,9
2014-01-02,32498,7
2014-01-03,32498,10
2014-01-04,32498,14
2014-01-05,32498,14
2014-01-06,32498,14
2014-01-07,32498,9
2014-01-08,32498,10
2014-01-09,32498,13
2014-01-10,32498,14
2014-01-11,32498,21
2014-01-12,32498,15
2014-01-13,32498,4
2014-01-14,32498,9
2014-01-15,32498,18
2014-01-16,32498,8
2014-01-17,32498,11
2014-01-18,32498,15
2014-01-19,32498,17
2014-01-20,32498,10
2014-01-21,32498,12
2014-01-22,32498,10
2014-01-23,32498,6
2014-01-24,32498,18
2014-01-25,32498,11
2014-01-26,32498,15
2014-01-27,32498,
2014-01-28,32498,7
2014-01-29,32498,7
2014-01-30,32498,17
2014-01-31,32498,10
2014-02-01,32498,24
2014-02-02,32498,15
2014-02-03,32498,13
2014-02-04,32498,19
2014-02-05,32498,14
2014-02-06,32498,12
2014-02-07,32498,15
2014-02-08,32498,13
2014-02-09,32498,19
2014-02-10,32498,8
2014-02-11,32498,13
2014-02-12,32498,
2014-02-13,32498,17
2014-02-14,32498,24
2014-02-15,32498,19
2014-02-16,32498,20
2014-02-17,32498,14
2014-02-18,32498,
2014-02-19,32498,14
2014-02-20,32498,17
2014-02-21,32498,15
2014-02-22,32498,15
2014-02-23,32498,19
2014-02-24,32498,16
2014-02-25,32498,9
2014-02-26,32498,10
2014-02-27,32498,9
2014-02-28,32498,8
2014-03-01,32498,19
2014-03-02,32498,22
2014-03-03,32498,14
2014-03-04,32498,19
2014-03-05,32498,15
2014-03-06,32498,14
2014-03-07,32498,15
2014-03-08,32498,15
2014-03-09,32498,14
2014-03-10,32498,15
2014-03-11,32498,16
2014-03-12,32498,16
2014-03-13,32498,20
2014-03-14,32498,15
2014-03-15,32498,27
2014-03-16,32498,13
2014-03-17,32498,20
2014-03-18,32498,9
2014-03-19,32498,20
2014-03-20,32498,20
2014-03-21,32498,20
2014-03-22,32498,15
2014-03-23,32498,16
2014-03-24,32498,18
2014-03-25,32498,13
2014-03-26,32498,18
2014-03-27,32498,20
2014-03-28,32498,19
2014-03-29,32498,22
2014-03-30,32498,18
2014-03-31,32498,7
2014-04-01,32498,22
2014-04-02,32498,24
2014-04-03,32498,22
2014-04-04,32498,24
2014-04-05,32498,38
2014-04-06,32498,23
2014-04-07,32498,20
2014-04-08,32498,12
2014-04-09,32498,23
2014-04-10,32498,18
2014-04-11,32498,32
2014-04-12,32498,17
2014-04-13,32498,26
2014-04-14,32498,8
2014-04-15,32498,11
2014-04-16,32498,25
2014-04-17,32498,20
2014-04-18,32498,17
2014-04-19,32498,27
2014-04-20,32498,29
2014-04-21,32498,13
2014-04-22,32498,23
2014-04-23,32498,18
2014-04-24,32498,14
2014-04-25,32498,21
2014-04-26,32498,26
2014-04-27,32498,23
2014-04-28,32498,21
2014-04-29,32498,14
2014-04-30,32498,20
2014-05-01,32498,21
2014-05-02,32498,20
2014-05-03,32498,35
2014-05-04,32498,22
2014-05-05,32498,14
2014-05-06,32498,16
2014-05-07,32498,18
2014-05-08,32498,32
2014-05-09,32498,20
2014-05-10,32498,14
2014-05-11,32498,21
2014-05-12,32498,17
2014-05-13,32498,20
2014-05-14,32498,
2014-05-15,32498,22
2014-05-16,32498,20
2014-05-17,32498,21
2014-05-18,32498,29
2014-05-19,32498,14
2014-05-20,32498,14
2014-05-21,32498,14
2014-05-22,32498,16
2014-05-23,32498,27
2014-05-24,32498,24
2014-05-25,32498,27
2014-05-26,32498,17
2014-05-27,32498,20
2014-05-28,32498,22
2014-05-29,32498,21
2014-05-30,32498,29
2014-05-31,32498,20
2014-06-01,32498,25
2014-06-02,32498,17
2014-06-03,32498,24
2014-06-04,32498,20
2014-06-05,32498,15
2014-06-06,32498,26
2014-06-07,32498,27
2014-06-08,32498,27
2014-06-09,32498,25
2014-06-10,32498,22
2014-06-11,32498,21
2014-06-12,32498,24
2014-06-13,32498,22
2014-06-14,32498,35
2014-06-15,32498,24
2014-06-16,32498,19
2014-06-17,32498,25
2014-06-18,32498,18
2014-06-19,32498,28
2014-06-20,32498,23
2014-06-21,32498,24
2014-06-22,32498,20
2014-06-23,32498,15
2014-06-24,32498,28
2014-06-25,32498,25
2014-06-26,32498,
2014-06-27,32498,23
2014-06-28,32498,23
2014-06-29,32498,29
2014-06-30,32498,18
2014-07-01,32498,19
2014-07-02,32498,24
2014-07-03,32498,21
2014-07-04,32498,30
2014-07-05,32498,31
2014-07-06,32498,28
2014-07-07,32498,19
2014-07-08,32498,29
2014-07-09,32498,21
2014-07-10,32498,32
2014-07-11,32498,29
2014-07-12,32498,29
2014-07-13,32498,22
2014-07-14,32498,25
2014-07-15,32498,22
2014-07-16,32498,21
2014-07-17,32498,26
2014-07-18,32498,21
2014-07-19,32498,32
2014-07-20,32498,40
2014-07-21,32498,20
2014-07-22,32498,32
2014-07-23,32498,26
2014-07-24,32498,23
2014-07-25,32498,31
2014-07-26,32498,30
2014-07-27,32498,29
2014-07-28,32498,14
2014-07-29,32498,17
2014-07-30,32498,25
2014-07-31,32498,23
2014-08-01,32498,21
2014-08-02,32498,18
2014-08-03,32498,38
2014-08-04,32498,20
2014-08-05,32498,23
2014-08-06,32498,24
2014-08-07,32498,25
2014-08-08,32498,17
2014-08-09,32498,23
2014-08-10,32498,35
2014-08-11,32498,18
2014-08-12,32498,27
2014-08-13,32498,22
2014-08-14,32498,31
2014-08-15,32498,19
2014-08-16,32498,23
2014-08-17,32498,22
2014-08-18,32498,12
2014-08-19,32498,23
2014-08-20,32498,27
2014-08-21,32498,25
2014-08-22,32498,15
2014-08-23,32498,32
2014-08-24,32498,26
2014-08-25,32498,14
2014-08-26,32498,18
2014-08-27,32498,15
2014-08-28,32498,22
2014-08-29,32498,22
2014-08-30,32498,20
2014-08-31,32498,28
2014-09-01,32498,16
2014-09-02,32498,14
2014-09-03,32498,15
2014-09-04,32498,24
2014-09-05,32498,26
2014-09-06,32498,25
2014-09-07,32498,29
2014-09-08,32498,15
2014-09-09,32498,16
2014-09-10,32498,23
2014-09-11,32498,25
2014-09-12,32498,16
2014-09-13,32498,30
2014-09-14,32498,
2014-09-15,32498,24
2014-09-16,32498,18
2014-09-17,32498,16
2014-09-18,32498,18
2014-09-19,32498,18
2014-09-20,32498,20
2014-09-21,32498,26
2014-09-22,32498,11
2014-09-23,32498,17
2014-09-24,32498,24
2014-09-25,32498,18
2014-09-26,32498,18
2014-09-27,32498,15
2014-09-28,32498,28
2014-09-29,32498,19
2014-09-30,32498,17
2014-10-01,32498,16
2014-10-02,32498,12
2014-10-03,32498,12
2014-10-04,32498,22
2014-10-05,32498,20
2014-10-06,32498,16
2014-10-07,32498,13
2014-10-08,32498,22
2014-10-09,32498,17
2014-10-10,32498,13
2014-10-11,32498,18
2014-10-12,32498,26
2014-10-13,32498,14
2014-10-14,32498,19
2014-10-15,32498,23
2014-10-16,32498,17
2014-10-17,32498,12
2014-10-18,32498,25
2014-10-19,32498,26
2014-10-20,32498,21
2014-10-21,32498,11
2014-10-22,32498,12
2014-10-23,32498,15
2014-10-24,32498,18
2014-10-25,32498,18
2014-10-26,32498,13
2014-10-27,32498,18
2014-10-28,32498,20
2014-10-29,32498,16
2014-10-30,32498,12
2014-10-31,32498,24
2014-11-01,32498,18
2014-11-02,32498,20
2014-11-03,32498,17
2014-11-04,32498,17
2014-11-05,32498,16
2014-11-06,32498,19
2014-11-07,32498,23
2014-11-08,32498,24
2014-11-09,32498,33
2014-11-10,32498,24
2014-11-11,32498,23
2014-11-12,32498,24
2014-11-13,32498,26
2014-11-14,32498,25
2014-11-15,32498,24
2014-11-16,32498,28
2014-11-17,32498,12
2014-11-18,32498,19
2014-11-19,32498,13
2014-11-20,32498,26
2014-11-21,32498,25
2014-11-22,32498,16
2014-11-23,32498,29
2014-11-24,32498,19
2014-11-25,32498,18
2014-11-26,32498,16
2014-11-27,32498,21
2014-11-28,32498,21
2014-11-29,32498,24
2014-11-30,32498,20
2014-12-01,32498,13
2014-12-02,32498,18
2014-12-03,32498,12
2014-12-04,32498,17
2014-12-05,32498,17
2014-12-06,32498,21
2014-12-07,32498,15
2014-12-08,32498,14
2014-12-09,32498,12
2014-12-10,32498,23
2014-12-11,32498,16
2014-12-12,32498,21
2014-12-13,32498,12
2014-12-14,32498,17
2014-12-15,32498,8
2014-12-16,32498,
2014-12-17,32498,13
2014-12-18,32498,17
2014-12-19,32498,14
2014-12-20,32498,19
2014-12-21,32498,13
2014-12-22,32498,15
2014-12-23,32498,19
2014-12-24,32498,21
2014-12-25,32498,10
2014-12-26,32498,13
2014-12-27,32498,15
2014-12-28,32498,20
2014-12-29,32498,7
2014-12-30,32498,12
2014-12-31,32498,14
2015-01-01,32498,15
2015-01-02,32498,20
2015-01-03,32498,19
2015-01-04,32498,23
2015-01-05,32498,10
2015-01-06,32498,13
2015-01-07,32498,21
2015-01-08,32498,16
2015-01-09,32498,14
2015-01-10,32498,28
2015-01-11,32498,13
2015-01-12,32498,15
2015-01-13,32498,6
2015-01-14,32498,14
2015-01-15,32498,14
2015-01-16,32498,11
2015-01-17,32498,19
2015-01-18,32498,18
2015-01-19,32498,15
2015-01-20,32498,9
2015-01-21,32498,13
2015-01-22,32498,6
2015-01-23,32498,10
2015-01-24,32498,13
2015-01-25,32498,18
2015-01-26,32498,9
2015-01-27,32498,11
2015-01-28,32498,14
2015-01-29,32498,15
2015-01-30,32498,18
2015-01-31,32498,
2015-02-01,32498,15
2015-02-02,32498,9
2015-02-03,32498,17
2015-02-04,32498,13
2015-02-05,32498,14
2015-02-06,32498,13
2015-02-07,32498,13
2015-02-08,32498,23
2015-02-09,32498,5
2015-02-10,32498,15
2015-02-11,32498,15
2015-02-12,32498,17
2015-02-13,32498,13
2015-02-14,32498,15
2015-02-15,32498,20
2015-02-16,32498,17
2015-02-17,32498,15
2015-02-18,32498,6
2015-02-19,32498,
2015-02-20,32498,19
2015-02-21,32498,12
2015-02-22,32498,13
2015-02-23,32498,9
2015-02-24,32498,14
2015-02-25,32498,11
2015-02-26,32498,11
2015-02-27,32498,21
2015-02-28,32498,22
2015-03-01,32498,23
2015-03-02,32498,10
2015-03-03,32498,25
2015-03-04,32498,18
2015-03-05,32498,19
2015-03-06,32498,7
2015-03-07,32498,21
2015-03-08,32498,25
2015-03-09,32498,17
2015-03-10,32498,13
2015-03-11,32498,14
2015-03-12,32498,18
2015-03-13,32498,12
2015-03-14,32498,25
2015-03-15,32498,20
2015-03-16,32498,
2015-03-17,32498,18
2015-03-18,32498,17
2015-03-19,32498,21
2015-03-20,32498,15
2015-03-21,32498,20
2015-03-22,32498,13
2015-03-23,32498,12
2015-03-24,32498,15
2015-03-25,32498,13
2015-03-26,32498,
2015-03-27,32498,18
2015-03-28,32498,19
2015-03-29,32498,26
2015-03-30,32498,20
2015-03-31,32498,24
2015-04-01,32498,12
2015-04-02,32498,21
2015-04-03,32498,26
2015-04-04,32498,30
2015-04-05,32498,32
2015-04-06,32498,
2015-04-07,32498,28
2015-04-08,32498,23
2015-04-09,32498,24
2015-04-10,32498,20
2015-04-11,32498,27
2015-04-12,32498,19
2015-04-13,32498,15
2015-04-14,32498,21
2015-04-15,32498,19
2015-04-16,32498,26
2015-04-17,32498,22
2015-04-18,32498,18
2015-04-19,32498,27
2015-04-20,32498,13
2015-04-21,32498,21
2015-04-22,32498,21
2015-04-23,32498,27
2015-04-24,32498,25
2015-04-25,32498,
2015-04-26,32498,26
2015-04-27,32498,16
2015-04-28,32498,24
2015-04-29,32498,20
2015-04-30,32498,26
2015-05-01,32498,26
2015-05-02,32498,
2015-05-03,32498,21
2015-05-04,32498,21
2015-05-05,32498,16
2015-05-06,32498,14
2015-05-07,32498,18
2015-05-08,32498,32
2015-05-09,32498,30
2015-05-10,32498,25
2015-05-11,32498,15
2015-05-12,32498,20
2015-05-13,32498,18
2015-05-14,32498,
2015-05-15,32498,34
2015-05-16,32498,21
2015-05-17,32498,34
2015-05-18,32498,24
2015-05-19,32498,22
2015-05-20,32498,19
2015-05-21,32498,23
2015-05-22,32498,29
2015-05-23,32498,28
2015-05-24,32498,28
2015-05-25,32498,15
2015-05-26,32498,16
2015-05-27,32498,24
2015-05-28,32498,21
2015-05-29,32498,32
2015-05-30,32498,31
2015-05-31,32498,29
2015-06-01,32498,16
2015-06-02,32498,25
2015-06-03,32498,24
2015-06-04,32498,25
2015-06-05,32498,33
2015-06-06,32498,26
2015-06-07,32498,31
2015-06-08,32498,12
2015-06-09,32498,30
2015-06-10,32498,17
2015-06-11,32498,23
2015-06-12,32498,16
2015-06-13,32498,27
2015-06-14,32498,32
2015-06-15,32498,21
2015-06-16,32498,16
2015-06-17,32498,23
2015-06-18,32498,21
2015-06-19,32498,26
2015-06-20,32498,24
2015-06-21,32498,26
2015-06-22,32498,14
2015-06-23,32498,19
2015-06-24,32498,21
2015-06-25,32498,24
2015-06-26,32498,21
2015-06-27,32498,29
2015-06-28,32498,27
2015-06-29,32498,12
2015-06-30,32498,25
2015-07-01,32498,30
2015-07-02,32498,24
2015-07-03,32498,30
2015-07-04,32498,32
2015-07-05,32498,37
2015-07-06,32498,17
2015-07-07,32498,18
2015-07-08,32498,29
2015-07-09,32498,20
2015-07-10,32498,22
2015-07-11,32498,39
2015-07-12,32498,16
2015-07-13,32498,21
2015-07-14,32498,35
2015-07-15,32498,16
2015-07-16,32498,32
2015-07-17,32498,23
2015-07-18,32498,18
2015-07-19,32498,29
2015-07-20,32498,18
2015-07-21,32498,19
2015-07-22,32498,22
2015-07-23,32498,26
2015-07-24,32498,26
2015-07-25,32498,25
2015-07-26,32498,29
2015-07-27,32498,14
2015-07-28,32498,30
2015-07-29,32498,29
2015-07-30,32498,30
2015-07-31,32498,27
2015-08-01,32498,21
2015-08-02,32498,24
2015-08-03,32498,
2015-08-04,32498,19
2015-08-05,32498,27
2015-08-06,32498,19
2015-08-07,32498,21
2015-08-08,32498,19
2015-08-09,32498,24
2015-08-10,32498,17
2015-08-11,32498,19
2015-08-12,32498,21
2015-08-13,32498,34
2015-08-14,32498,16
2015-08-15,32498,27
2015-08-16,32498,32
2015-08-17,32498,26
2015-08-18,32498,32
2015-08-19,32498,18
2015-08-20,32498,13
2015-08-21,32498,27
2015-08-22,32498,
2015-08-23,32498,30
2015-08-24,32498,15
2015-08-25,32498,17
2015-08-26,32498,16
2015-08-27,32498,22
2015-08-28,32498,23
2015-08-29,32498,23
2015-08-30,32498,25
2015-08-31,32498,20
2015-09-01,32498,18
2015-09-02,32498,14
2015-09-03,32498,24
2015-09-04,32498,20
2015-09-05,32498,21
2015-09-06,32498,30
2015-09-07,32498,
2015-09-08,32498,16
2015-09-09,32498,24
2015-09-10,32498,20
2015-09-11,32498,25
2015-09-12,32498,34
2015-09-13,32498,23
2015-09-14,32498,16
2015-09-15,32498,25
2015-09-16,32498,26
2015-09-17,32498,25
2015-09-18,32498,17
2015-09-19,32498,31
2015-09-20,32498,27
2015-09-21,32498,20
2015-09-22,32498,16
2015-09-23,32498,20
2015-09-24,32498,29
2015-09-25,32498,13
2015-09-26,32498,23
2015-09-27,32498,16
2015-09-28,32498,25
2015-09-29,32498,17
2015-09-30,32498,19
2015-10-01,32498,21
2015-10-02,32498,25
2015-10-03,32498,22
2015-10-04,32498,28
2015-10-05,32498,9
2015-10-06,32498,15
2015-10-07,32498,23
2015-10-08,32498,15
2015-10-09,32498,16
2015-10-10,32498,17
2015-10-11,32498,26
2015-10-12,32498,8
2015-10-13,32498,18
2015-10-14,32498,17
2015-10-15,32498,20
2015-10-16,32498,24
2015-10-17,32498,16
2015-10-18,32498,19
2015-10-19,32498,16
2015-10-20,32498,23
2015-10-21,32498,21
2015-10-22,32498,27
2015-10-23,32498,27
2015-10-24,32498,14
2015-10-25,32498,36
2015-10-26,32498,11
2015-10-27,32498,20
2015-10-28,32498,20
2015-10-29,32498,18
2015-10-30,32498,17
2015-10-31,32498,15
2015-11-01,32498,23
2015-11-02,32498,16
2015-11-03,32498,19
2015-11-04,32498,26
2015-11-05,32498,21
2015-11-06,32498,17
2015-11-07,32498,17
2015-11-08,32498,22
2015-11-09,32498,19
2015-11-10,32498,16
2015-11-11,32498,21
2015-11-12,32498,21
2015-11-13,32498,16
2015-11-14,32498,23
2015-11-15,32498,27
2015-11-16,32498,14
2015-11-17,32498,19
2015-11-18,32498,9
2015-11-19,32498,15
2015-11-20,32498,16
2015-11-21,32498,
2015-11-22,32498,28
2015-11-23,32498,16
2015-11-24,32498,23
2015-11-25,32498,23
2015-11-26,32498,18
2015-11-27,32498,28
2015-11-28,32498,31
2015-11-29,32498,24
2015-11-30,32498,20
2015-12-01,32498,
2015-12-02,32498,17
2015-12-03,32498,12
2015-12-04,32498,16
2015-12-05,32498,25
2015-12-06,32498,16
2015-12-07,32498,9
2015-12-08,32498,11
2015-12-09,32498,13
2015-12-10,32498,23
2015-12-11,32498,7
2015-12-12,32498,18
2015-12-13,32498,16
2015-12-14,32498,12
2015-12-15,32498,11
2015-12-16,32498,17
2015-12-17,32498,16
2015-12-18,32498,24
2015-12-19,32498,10
2015-12-20,32498,14
2015-12-21,32498,11
2015-12-22,32498,12
2015-12-23,32498,11
2015-12-24,32498,
2015-12-25,32498,17
2015-12-26,32498,14
2015-12-27,32498,18
2015-12-28,32498,5
2015-12-29,32498,15
2015-12-30,32498,15
2015-12-31,32498,22
2016-01-01,32498,15
2016-01-02,32498,15
2016-01-03,32498,21
2016-01-04,32498,12
2016-01-05,32498,12
2016-01-06,32498,12
2016-01-07,32498,16
2016-01-08,32498,10
2016-01-09,32498,23
2016-01-10,32498,13
2016-01-11,32498,11
2016-01-12,32498,10
2016-01-13,32498,12
2016-01-14,32498,14
2016-01-15,32498,12
2016-01-16,32498,12
2016-01-17,32498,19
2016-01-18,32498,7
2016-01-19,32498,17
2016-01-20,32498,14
2016-01-21,32498,13
2016-01-22,32498,17
2016-01-23,32498,10
2016-01-24,32498,25
2016-01-25,32498,11
2016-01-26,32498,12
2016-01-27,32498,12
2016-01-28,32498,15
2016-01-29,32498,19
2016-01-30,32498,19
2016-01-31,32498,17
2016-02-01,32498,10
2016-02-02,32498,14
2016-02-03,32498,20
2016-02-04,32498,20
2016-02-05,32498,10
2016-02-06,32498,21
2016-02-07,32498,17
2016-02-08,32498,15
2016-02-09,32498,12
2016-02-10,32498,25
2016-02-11,32498,24
2016-02-12,32498,13
2016-02-13,32498,17
2016-02-14,32498,21
2016-02-15,32498,11
2016-02-16,32498,8
2016-02-17,32498,11
2016-02-18,32498,15
2016-02-19,32498,24
2016-02-20,32498,26
2016-02-21,32498,28
2016-02-22,32498,13
2016-02-23,32498,20
2016-02-24,32498,14
2016-02-25,32498,15
2016-02-26,32498,26
2016-02-27,32498,16
2016-02-28,32498,14
2016-02-29,32498,11
2016-03-01,32498,16
2016-03-02,32498,21
2016-03-03,32498,15
2016-03-04,32498,20
2016-03-05,32498,20
2016-03-06,32498,23
2016-03-07,32498,16
2016-03-08,32498,18
2016-03-09,32498,17
2016-03-10,32498,24
2016-03-11,32498,20
2016-03-12,32498,25
2016-03-13,32498,18
